Gas,mmBtu per unit,kg CO2 per mmBtu,g CH4 per mmBtu,g N20 per mmBtu,kg CO2 per unit,kg CH4 per unit,kg N2O per unit,
Asphalt and Road Oil,0.158,75.36,3.0,0.60,11.91,0.47,0.09,gallon
Aviation Gasoline,0.120,69.25,3.0,0.60,8.31,0.36,0.07,gallon
Butane,0.103,64.77,3.0,0.60,6.67,0.31,0.06,gallon
Butylene,0.105,68.72,3.0,0.60,7.22,0.32,0.06,gallon
Crude Oil,0.138,74.54,3.0,0.60,10.29,0.41,0.08,gallon
Distillate Fuel Oil No. 1,0.139,73.25,3.0,0.60,10.18,0.42,0.08,gallon
Distillate Fuel Oil No. 2,0.138,73.96,3.0,0.60,10.21,0.41,0.08,gallon
Distillate Fuel Oil No. 4,0.146,75.04,3.0,0.60,10.96,0.44,0.09,gallon
Ethane,0.068,59.60,3.0,0.60,4.05,0.20,0.04,gallon
Ethylene,0.058,65.96,3.0,0.60,3.83,0.17,0.03,gallon
Heavy Gas Oils,0.148,74.92,3.0,0.60,11.09,0.44,0.09,gallon
Isobutane,0.099,64.94,3.0,0.60,6.43,0.30,0.06,gallon
Isobutylene,0.103,68.86,3.0,0.60,7.09,0.31,0.06,gallon
Kerosene,0.135,75.20,3.0,0.60,10.15,0.41,0.08,gallon
Kerosene-type Jet Fuel,0.135,72.22,3.0,0.60,9.75,0.41,0.08,gallon
Liquefied Petroleum Gases (LPG),0.092,61.71,3.0,0.60,5.68,0.28,0.06,gallon
Lubricants,0.144,74.27,3.0,0.60,10.69,0.43,0.09,gallon
Motor Gasoline,0.125,70.22,3.0,0.60,8.78,0.38,0.08,gallon
Naphtha (<401 deg F),0.125,68.02,3.0,0.60,8.50,0.38,0.08,gallon
Natural Gasoline,0.110,66.88,3.0,0.60,7.36,0.33,0.07,gallon
Other Oil (>401 deg F),0.139,76.22,3.0,0.60,10.59,0.42,0.08,gallon
Pentanes Plus,0.110,70.02,3.0,0.60,7.70,0.33,0.07,gallon
Petrochemical Feedstocks,0.125,71.02,3.0,0.60,8.88,0.38,0.08,gallon
Petroleum Coke,0.143,102.41,3.0,0.60,14.64,0.43,0.09,gallon
Propane,0.091,62.87,3.0,0.60,5.72,0.27,0.05,gallon
